customer_id,ticket_id,ticket_category,ticket_text,priority,created_at,sentiment_score,sentiment_label
1,837306,Account,Pricing has increased 20% but we haven't seen any new features in months.,High,31/05/2025,-0.4118,Negative
1,583687,Account,Too many clicks to reach the main dashboard. UX is frustrating.,High,16/01/2025,-0.4215,Negative
1,698377,Account,The new automated workflow saved our team 10 hours this week!,Low,16/01/2025,0.4753,Positive
1,259139,Account,Our procurement department is questioning the ROI of this contract.,High,29/01/2025,-0.1027,Negative
2,810803,Account,The custom reporting tool is a game changer for our QBRs.,Low,18/02/2025,0.75,Positive
2,386671,Technical,Best-in-class API documentation. We got up and running in a day.,Low,03/04/2025,0.75,Positive
3,765140,Account,Our procurement department is questioning the ROI of this contract.,Low,02/04/2025,-0.1027,Negative
3,130533,Account,Where can I find the invoice for March 2025?,Low,09/03/2025,0.0,Neutral
4,684556,Account,UI is extremely sluggish when loading large datasets. Unusable for our team.,High,30/03/2025,-0.4576,Negative
4,465560,Account,The new automated workflow saved our team 10 hours this week!,Low,06/04/2025,0.4753,Positive
5,365289,Account,The latest feature release is exactly what we were looking for.,Low,02/04/2025,0.75,Positive
6,169699,Account,Quick question about the upcoming webinar schedule.,Low,15/03/2025,0.0,Neutral
7,742604,Technical,Best-in-class API documentation. We got up and running in a day.,Low,20/04/2025,0.75,Positive
8,151159,Account,Our procurement department is questioning the ROI of this contract.,Low,07/04/2025,-0.1027,Negative
9,256975,Account,The new automated workflow saved our team 10 hours this week!,Low,25/03/2025,0.4753,Positive
9,608834,Technical,The Salesforce integration is dropping leads; this is costing us revenue.,Low,15/04/2025,-0.75,Negative
9,780649,Account,Really appreciate the proactive check-in from our Success Manager.,Low,14/01/2025,0.8676,Positive
10,317138,Technical,The Salesforce integration is dropping leads; this is costing us revenue.,Low,24/04/2025,-0.75,Negative
10,342975,Account,Our procurement department is questioning the ROI of this contract.,Low,04/05/2025,-0.1027,Negative
10,524741,Account,The mobile app is crashing on startup after the iOS update.,Low,16/01/2025,-0.75,Negative
10,116354,Account,Really appreciate the proactive check-in from our Success Manager.,Low,15/02/2025,0.8676,Positive
11,892271,Account,Really appreciate the proactive check-in from our Success Manager.,Low,25/04/2025,0.8676,Positive
12,715178,Account,Can you provide the IP range for whitelisting?,Low,20/02/2025,0.0,Neutral
12,318272,Account,Higher ROI than the previous vendor we used. Great value.,Low,25/04/2025,0.7579,Positive
13,591492,Account,Security audit failed due to your outdated SSO implementation.,High,06/01/2025,-0.2263,Negative
13,211184,Account,Pricing has increased 20% but we haven't seen any new features in months.,High,31/03/2025,-0.4118,Negative
13,584946,Technical,Best-in-class API documentation. We got up and running in a day.,Low,12/03/2025,0.75,Positive
13,812079,Account,Super fast load times even with our massive database.,Low,30/05/2025,0.5994,Positive
13,541033,Account,Updating our billing address who should I send this to?,Low,03/03/2025,0.0,Neutral
14,717837,Account,Really appreciate the proactive check-in from our Success Manager.,Low,09/03/2025,0.8676,Positive
14,858596,Account,Can you provide the IP range for whitelisting?,Low,08/02/2025,0.0,Neutral
14,616462,Account,Higher ROI than the previous vendor we used. Great value.,Low,11/03/2025,0.7579,Positive
14,570808,Account,Our procurement department is questioning the ROI of this contract.,Low,07/04/2025,-0.1027,Negative
15,618339,Account,Really appreciate the proactive check-in from our Success Manager.,Low,28/03/2025,0.8676,Positive
16,862594,Account,Security audit failed due to your outdated SSO implementation.,High,10/05/2025,-0.2263,Negative
16,306597,Account,"Major regression found in the latest deployment, reporting is broken.",High,16/04/2025,-0.4767,Negative
16,314397,Account,Can you provide the IP range for whitelisting?,Low,18/05/2025,0.0,Neutral
17,165872,Account,Really appreciate the proactive check-in from our Success Manager.,Low,31/01/2025,0.8676,Positive
18,985410,Technical,Is there a limit on the number of API calls per minute?,Low,20/01/2025,0.0,Neutral
18,459229,Account,Really appreciate the proactive check-in from our Success Manager.,Low,10/02/2025,0.8676,Positive
18,554170,Account,The mobile app is crashing on startup after the iOS update.,Low,06/02/2025,-0.75,Negative
18,739203,Account,Where can I find the invoice for March 2025?,Low,16/03/2025,0.0,Neutral
19,178622,Account,The latest feature release is exactly what we were looking for.,Low,13/05/2025,0.75,Positive
19,515634,Technical,Is there a limit on the number of API calls per minute?,Low,14/01/2025,0.0,Neutral
19,397145,Account,Too many clicks to reach the main dashboard. UX is frustrating.,High,24/01/2025,-0.4215,Negative
19,159030,Account,UI is extremely sluggish when loading large datasets. Unusable for our team.,High,03/04/2025,-0.4576,Negative
19,530468,Account,Pricing has increased 20% but we haven't seen any new features in months.,High,31/03/2025,-0.4118,Negative
19,644013,Technical,The Salesforce integration is dropping leads; this is costing us revenue.,Low,16/02/2025,-0.75,Negative
20,669323,Account,Incredible response time from the technical support team.,Low,15/05/2025,0.4019,Positive
21,680443,Technical,Integration with Slack was seamless. Love the notifications.,Low,08/03/2025,0.6369,Positive
21,293142,Account,The mobile app is crashing on startup after the iOS update.,Low,07/04/2025,-0.75,Negative
22,178798,Account,Super fast load times even with our massive database.,Low,20/03/2025,0.5994,Positive
23,128105,Account,The latest feature release is exactly what we were looking for.,Low,17/04/2025,0.75,Positive
23,458217,Account,The dashboard is beautiful and very intuitive for our executives.,Low,08/04/2025,0.5994,Positive
24,674703,Account,The mobile app is crashing on startup after the iOS update.,Low,13/05/2025,-0.75,Negative
24,787973,Account,Can you provide the IP range for whitelisting?,Low,10/05/2025,0.0,Neutral
25,877955,Account,The dashboard is beautiful and very intuitive for our executives.,Low,05/01/2025,0.5994,Positive
25,217396,Technical,Integration with Slack was seamless. Love the notifications.,Low,04/02/2025,0.6369,Positive
26,225811,Account,The dashboard is beautiful and very intuitive for our executives.,Low,20/04/2025,0.5994,Positive
26,288068,Account,Bulk export to CSV keeps timing out for our Enterprise account.,Low,25/04/2025,-0.75,Negative
27,694713,Account,Higher ROI than the previous vendor we used. Great value.,Low,11/05/2025,0.7579,Positive
27,882641,Account,The mobile app is crashing on startup after the iOS update.,Low,02/02/2025,-0.75,Negative
27,993551,Account,Requesting a copy of the latest SOC2 Type II report.,Low,04/04/2025,0.0,Neutral
28,734706,Account,Incredible response time from the technical support team.,Low,30/01/2025,0.4019,Positive
29,859922,Account,How do I reset the password for a sub-user?,Low,27/05/2025,0.0,Neutral
29,749057,Account,The dashboard is beautiful and very intuitive for our executives.,Low,16/03/2025,0.5994,Positive
29,918119,Account,Does the current plan support multi-factor authentication?,Low,16/04/2025,0.0,Neutral
29,771402,Account,Really appreciate the proactive check-in from our Success Manager.,Low,29/03/2025,0.8676,Positive
30,948039,Account,Pricing has increased 20% but we haven't seen any new features in months.,High,11/05/2025,-0.4118,Negative
30,199978,Technical,Best-in-class API documentation. We got up and running in a day.,Low,05/03/2025,0.75,Positive
30,171799,Technical,Integration with Slack was seamless. Love the notifications.,Low,25/01/2025,0.6369,Positive
30,243450,Account,Quick question about the upcoming webinar schedule.,Low,14/01/2025,0.0,Neutral
31,766439,Technical,Integration with Slack was seamless. Love the notifications.,Low,22/02/2025,0.6369,Positive
32,374681,Account,"Major regression found in the latest deployment, reporting is broken.",High,04/01/2025,-0.4767,Negative
32,646957,Account,Incredible response time from the technical support team.,Low,19/01/2025,0.4019,Positive
33,345418,Account,Can you provide the IP range for whitelisting?,Low,17/05/2025,0.0,Neutral
34,936866,Account,Really appreciate the proactive check-in from our Success Manager.,Low,06/03/2025,0.8676,Positive
34,358953,Account,Quick question about the upcoming webinar schedule.,Low,05/01/2025,0.0,Neutral
34,910129,Account,Our procurement department is questioning the ROI of this contract.,Low,22/02/2025,-0.1027,Negative
34,791929,Technical,API documentation is inconsistent with the actual endpoints.,Low,06/05/2025,-0.75,Negative
35,256341,Account,Super fast load times even with our massive database.,Low,15/05/2025,0.5994,Positive
36,136958,Account,Our procurement department is questioning the ROI of this contract.,Low,01/01/2025,-0.1027,Negative
36,980721,Technical,The Salesforce integration is dropping leads; this is costing us revenue.,Low,08/04/2025,-0.75,Negative
36,624781,Account,Bulk export to CSV keeps timing out for our Enterprise account.,Low,11/04/2025,-0.75,Negative
36,903111,Technical,API documentation is inconsistent with the actual endpoints.,Low,21/05/2025,-0.75,Negative
37,853251,Technical,The Salesforce integration is dropping leads; this is costing us revenue.,Low,04/03/2025,-0.75,Negative
37,991333,Account,Super fast load times even with our massive database.,Low,25/03/2025,0.5994,Positive
37,864501,Account,The dashboard is beautiful and very intuitive for our executives.,Low,29/05/2025,0.5994,Positive
37,695836,Account,The custom reporting tool is a game changer for our QBRs.,Low,06/04/2025,0.75,Positive
38,180021,Account,Really appreciate the proactive check-in from our Success Manager.,Low,06/05/2025,0.8676,Positive
39,539589,Account,Too many clicks to reach the main dashboard. UX is frustrating.,High,01/02/2025,-0.4215,Negative
39,634901,Technical,Best-in-class API documentation. We got up and running in a day.,Low,21/01/2025,0.75,Positive
40,984890,Account,The latest feature release is exactly what we were looking for.,Low,26/01/2025,0.75,Positive
40,680009,Account,Where can I find the invoice for March 2025?,Low,06/03/2025,0.0,Neutral
40,418832,Technical,API documentation is inconsistent with the actual endpoints.,Low,31/01/2025,-0.75,Negative
40,861823,Account,"Major regression found in the latest deployment, reporting is broken.",High,12/05/2025,-0.4767,Negative
41,200936,Technical,Is there a limit on the number of API calls per minute?,Low,06/03/2025,0.0,Neutral
41,181162,Account,Really appreciate the proactive check-in from our Success Manager.,Low,01/01/2025,0.8676,Positive
41,413455,Account,Pricing has increased 20% but we haven't seen any new features in months.,High,08/03/2025,-0.4118,Negative
42,804784,Account,UI is extremely sluggish when loading large datasets. Unusable for our team.,High,19/01/2025,-0.4576,Negative
43,946758,Technical,Integration with Slack was seamless. Love the notifications.,Low,29/05/2025,0.6369,Positive
43,149741,Account,The latest feature release is exactly what we were looking for.,Low,02/03/2025,0.75,Positive
44,440949,Account,Updating our billing address who should I send this to?,Low,01/01/2025,0.0,Neutral
44,324798,Technical,The Salesforce integration is dropping leads; this is costing us revenue.,Low,07/01/2025,-0.75,Negative
44,776517,Account,Incredible response time from the technical support team.,Low,29/04/2025,0.4019,Positive
44,114191,Account,Our procurement department is questioning the ROI of this contract.,Low,09/05/2025,-0.1027,Negative
45,273701,Account,Quick question about the upcoming webinar schedule.,Low,23/01/2025,0.0,Neutral
46,854659,Account,The custom reporting tool is a game changer for our QBRs.,Low,29/04/2025,0.75,Positive
46,806319,Account,Super fast load times even with our massive database.,Low,12/04/2025,0.5994,Positive
46,505852,Technical,Is there a limit on the number of API calls per minute?,Low,21/02/2025,0.0,Neutral
47,953262,Technical,The Salesforce integration is dropping leads; this is costing us revenue.,Low,20/01/2025,-0.75,Negative
48,428444,Account,Updating our billing address who should I send this to?,Low,04/04/2025,0.0,Neutral
48,595942,Account,Bulk export to CSV keeps timing out for our Enterprise account.,Low,14/02/2025,-0.75,Negative
48,472029,Account,Can you provide the IP range for whitelisting?,Low,12/03/2025,0.0,Neutral
49,796151,Technical,The Salesforce integration is dropping leads; this is costing us revenue.,Low,12/04/2025,-0.75,Negative
49,437457,Account,The new automated workflow saved our team 10 hours this week!,Low,11/05/2025,0.4753,Positive
49,445050,Technical,Integration with Slack was seamless. Love the notifications.,Low,08/04/2025,0.6369,Positive
49,468002,Account,Does the current plan support multi-factor authentication?,Low,28/03/2025,0.0,Neutral
50,642699,Account,Super fast load times even with our massive database.,Low,14/03/2025,0.5994,Positive
50,480703,Account,The mobile app is crashing on startup after the iOS update.,Low,29/01/2025,-0.75,Negative
50,896391,Technical,API documentation is inconsistent with the actual endpoints.,Low,12/05/2025,-0.75,Negative
50,857396,Account,"Major regression found in the latest deployment, reporting is broken.",High,21/05/2025,-0.4767,Negative
50,642101,Account,Pricing has increased 20% but we haven't seen any new features in months.,High,27/01/2025,-0.4118,Negative
50,796131,Account,Updating our billing address who should I send this to?,Low,01/05/2025,0.0,Neutral
51,553507,Account,The new automated workflow saved our team 10 hours this week!,Low,22/05/2025,0.4753,Positive
51,121066,Technical,Integration with Slack was seamless. Love the notifications.,Low,19/04/2025,0.6369,Positive
51,627147,Account,Bulk export to CSV keeps timing out for our Enterprise account.,Low,05/04/2025,-0.75,Negative
51,889778,Account,The latest feature release is exactly what we were looking for.,Low,30/01/2025,0.75,Positive
52,502011,Account,The custom reporting tool is a game changer for our QBRs.,Low,16/02/2025,0.75,Positive
52,659984,Account,The dashboard is beautiful and very intuitive for our executives.,Low,25/03/2025,0.5994,Positive
52,824404,Account,Super fast load times even with our massive database.,Low,24/01/2025,0.5994,Positive
53,883587,Account,The latest feature release is exactly what we were looking for.,Low,15/04/2025,0.75,Positive
54,537992,Account,Security audit failed due to your outdated SSO implementation.,Low,12/02/2025,-0.2263,Negative
54,159261,Technical,The Salesforce integration is dropping leads; this is costing us revenue.,Low,18/03/2025,-0.75,Negative
54,553999,Account,The mobile app is crashing on startup after the iOS update.,Low,22/02/2025,-0.75,Negative
54,616396,Account,The new automated workflow saved our team 10 hours this week!,Low,03/02/2025,0.4753,Positive
54,223551,Account,Our procurement department is questioning the ROI of this contract.,High,03/01/2025,-0.1027,Negative
54,899810,Account,Too many clicks to reach the main dashboard. UX is frustrating.,High,05/01/2025,-0.4215,Negative
55,480945,Account,The dashboard is beautiful and very intuitive for our executives.,Low,17/05/2025,0.5994,Positive
55,135331,Technical,Best-in-class API documentation. We got up and running in a day.,Low,25/03/2025,0.75,Positive
55,450746,Account,Our procurement department is questioning the ROI of this contract.,Low,02/03/2025,-0.1027,Negative
55,738768,Account,Where can I find the invoice for March 2025?,Low,14/02/2025,0.0,Neutral
56,224789,Account,Higher ROI than the previous vendor we used. Great value.,Low,16/04/2025,0.7579,Positive
56,140998,Account,Bulk export to CSV keeps timing out for our Enterprise account.,Low,27/02/2025,-0.75,Negative
57,150619,Account,Super fast load times even with our massive database.,Low,22/01/2025,0.5994,Positive
58,978416,Account,The custom reporting tool is a game changer for our QBRs.,Low,04/02/2025,0.75,Positive
59,705435,Account,Pricing has increased 20% but we haven't seen any new features in months.,High,25/05/2025,-0.4118,Negative
59,278092,Account,The custom reporting tool is a game changer for our QBRs.,Low,24/01/2025,0.75,Positive
59,244181,Account,Security audit failed due to your outdated SSO implementation.,Low,30/03/2025,-0.2263,Negative
60,642922,Account,Pricing has increased 20% but we haven't seen any new features in months.,High,17/01/2025,-0.4118,Negative
60,922474,Account,The dashboard is beautiful and very intuitive for our executives.,Low,21/05/2025,0.5994,Positive
61,895590,Account,Bulk export to CSV keeps timing out for our Enterprise account.,Low,21/02/2025,-0.75,Negative
61,889384,Account,Incredible response time from the technical support team.,Low,07/04/2025,0.4019,Positive
61,900095,Technical,The Salesforce integration is dropping leads; this is costing us revenue.,Low,06/02/2025,-0.75,Negative
61,779744,Account,Can you provide the IP range for whitelisting?,Low,26/05/2025,0.0,Neutral
62,376191,Account,"Major regression found in the latest deployment, reporting is broken.",High,06/03/2025,-0.4767,Negative
62,864173,Account,Pricing has increased 20% but we haven't seen any new features in months.,High,16/05/2025,-0.4118,Negative
62,178128,Account,Our procurement department is questioning the ROI of this contract.,High,20/04/2025,-0.1027,Negative
62,812555,Account,Security audit failed due to your outdated SSO implementation.,High,23/05/2025,-0.2263,Negative
62,257697,Account,Where can I find the invoice for March 2025?,Low,22/02/2025,0.0,Neutral
63,727033,Account,UI is extremely sluggish when loading large datasets. Unusable for our team.,High,30/03/2025,-0.4576,Negative
64,690967,Technical,The Salesforce integration is dropping leads; this is costing us revenue.,Low,12/02/2025,-0.75,Negative
64,640194,Account,Incredible response time from the technical support team.,Low,04/02/2025,0.4019,Positive
64,688499,Technical,API documentation is inconsistent with the actual endpoints.,Low,10/05/2025,-0.75,Negative
64,207202,Account,Bulk export to CSV keeps timing out for our Enterprise account.,Low,20/05/2025,-0.75,Negative
65,721340,Account,The new automated workflow saved our team 10 hours this week!,Low,08/05/2025,0.4753,Positive
65,208614,Account,The dashboard is beautiful and very intuitive for our executives.,Low,24/02/2025,0.5994,Positive
65,747073,Account,Incredible response time from the technical support team.,Low,09/01/2025,0.4019,Positive
66,545062,Account,Can you provide the IP range for whitelisting?,Low,19/03/2025,0.0,Neutral
66,178972,Account,Higher ROI than the previous vendor we used. Great value.,Low,10/01/2025,0.7579,Positive
66,330460,Account,Pricing has increased 20% but we haven't seen any new features in months.,High,24/03/2025,-0.4118,Negative
66,866962,Account,The mobile app is crashing on startup after the iOS update.,Low,23/03/2025,-0.75,Negative
66,201736,Account,Too many clicks to reach the main dashboard. UX is frustrating.,High,18/05/2025,-0.4215,Negative
67,635099,Account,UI is extremely sluggish when loading large datasets. Unusable for our team.,High,13/04/2025,-0.4576,Negative
67,880556,Account,"Major regression found in the latest deployment, reporting is broken.",High,09/03/2025,-0.4767,Negative
67,660516,Technical,Integration with Slack was seamless. Love the notifications.,Low,18/03/2025,0.6369,Positive
67,750074,Account,Requesting a copy of the latest SOC2 Type II report.,Low,03/01/2025,0.0,Neutral
68,794468,Account,Where can I find the invoice for March 2025?,Low,19/01/2025,0.0,Neutral
68,745921,Account,Our procurement department is questioning the ROI of this contract.,Low,29/03/2025,-0.1027,Negative
68,222774,Account,Higher ROI than the previous vendor we used. Great value.,Low,06/05/2025,0.7579,Positive
68,152879,Account,Requesting a copy of the latest SOC2 Type II report.,Low,22/01/2025,0.0,Neutral
69,977807,Account,Our procurement department is questioning the ROI of this contract.,Low,02/02/2025,-0.1027,Negative
69,453675,Account,Pricing has increased 20% but we haven't seen any new features in months.,High,24/02/2025,-0.4118,Negative
69,631435,Account,Higher ROI than the previous vendor we used. Great value.,Low,26/01/2025,0.7579,Positive
69,492349,Account,UI is extremely sluggish when loading large datasets. Unusable for our team.,High,21/01/2025,-0.4576,Negative
70,230741,Account,The new automated workflow saved our team 10 hours this week!,Low,07/03/2025,0.4753,Positive
70,292342,Account,The mobile app is crashing on startup after the iOS update.,Low,21/01/2025,-0.75,Negative
70,193713,Account,Higher ROI than the previous vendor we used. Great value.,Low,27/03/2025,0.7579,Positive
70,427040,Account,Does the current plan support multi-factor authentication?,Low,21/01/2025,0.0,Neutral
71,364188,Account,Quick question about the upcoming webinar schedule.,Low,06/03/2025,0.0,Neutral
72,742525,Technical,Is there a limit on the number of API calls per minute?,Low,25/05/2025,0.0,Neutral
72,469170,Account,Bulk export to CSV keeps timing out for our Enterprise account.,Low,22/04/2025,-0.75,Negative
72,351379,Technical,Integration with Slack was seamless. Love the notifications.,Low,07/02/2025,0.6369,Positive
73,147086,Account,Really appreciate the proactive check-in from our Success Manager.,Low,13/04/2025,0.8676,Positive
74,586569,Account,Our procurement department is questioning the ROI of this contract.,Low,05/01/2025,-0.1027,Negative
74,432589,Account,UI is extremely sluggish when loading large datasets. Unusable for our team.,High,18/02/2025,-0.4576,Negative
74,784520,Technical,Is there a limit on the number of API calls per minute?,Low,30/01/2025,0.0,Neutral
74,416112,Account,Bulk export to CSV keeps timing out for our Enterprise account.,Low,18/03/2025,-0.75,Negative
75,203096,Account,Pricing has increased 20% but we haven't seen any new features in months.,High,03/04/2025,-0.4118,Negative
75,644987,Account,The custom reporting tool is a game changer for our QBRs.,Low,12/01/2025,0.75,Positive
75,123409,Account,The latest feature release is exactly what we were looking for.,Low,23/05/2025,0.75,Positive
75,241538,Account,"Major regression found in the latest deployment, reporting is broken.",High,20/01/2025,-0.4767,Negative
76,464851,Technical,Is there a limit on the number of API calls per minute?,Low,24/02/2025,0.0,Neutral
76,661795,Account,The dashboard is beautiful and very intuitive for our executives.,Low,13/03/2025,0.5994,Positive
76,843172,Technical,Integration with Slack was seamless. Love the notifications.,Low,20/05/2025,0.6369,Positive
77,984641,Account,Our procurement department is questioning the ROI of this contract.,Low,12/02/2025,-0.1027,Negative
78,593674,Account,Pricing has increased 20% but we haven't seen any new features in months.,High,28/02/2025,-0.4118,Negative
78,865232,Account,"Major regression found in the latest deployment, reporting is broken.",High,29/05/2025,-0.4767,Negative
78,896652,Account,The custom reporting tool is a game changer for our QBRs.,Low,09/05/2025,0.75,Positive
79,120096,Technical,Best-in-class API documentation. We got up and running in a day.,Low,24/04/2025,0.75,Positive
79,164091,Technical,Is there a limit on the number of API calls per minute?,Low,25/05/2025,0.0,Neutral
80,659634,Account,The latest feature release is exactly what we were looking for.,Low,17/03/2025,0.75,Positive
80,788084,Account,Updating our billing address who should I send this to?,Low,23/04/2025,0.0,Neutral
81,956438,Account,Does the current plan support multi-factor authentication?,Low,01/03/2025,0.0,Neutral
81,681401,Account,Incredible response time from the technical support team.,Low,30/03/2025,0.4019,Positive
81,324223,Account,Bulk export to CSV keeps timing out for our Enterprise account.,Low,15/03/2025,-0.75,Negative
82,847576,Technical,The Salesforce integration is dropping leads; this is costing us revenue.,Low,27/05/2025,-0.75,Negative
82,978738,Account,"Major regression found in the latest deployment, reporting is broken.",High,06/01/2025,-0.4767,Negative
82,515678,Account,Does the current plan support multi-factor authentication?,Low,15/05/2025,0.0,Neutral
83,724960,Technical,Best-in-class API documentation. We got up and running in a day.,Low,15/01/2025,0.75,Positive
83,548493,Technical,API documentation is inconsistent with the actual endpoints.,Low,13/03/2025,-0.75,Negative
83,205372,Account,Where can I find the invoice for March 2025?,Low,20/04/2025,0.0,Neutral
83,348457,Account,Pricing has increased 20% but we haven't seen any new features in months.,High,17/05/2025,-0.4118,Negative
83,459262,Account,Does the current plan support multi-factor authentication?,Low,21/01/2025,0.0,Neutral
83,647184,Account,The latest feature release is exactly what we were looking for.,Low,23/01/2025,0.75,Positive
84,148473,Account,Does the current plan support multi-factor authentication?,Low,11/03/2025,0.0,Neutral
84,738585,Account,Super fast load times even with our massive database.,Low,19/02/2025,0.5994,Positive
84,751911,Account,The latest feature release is exactly what we were looking for.,Low,03/03/2025,0.75,Positive
85,447963,Account,The dashboard is beautiful and very intuitive for our executives.,Low,04/02/2025,0.5994,Positive
85,642712,Account,Updating our billing address who should I send this to?,Low,23/02/2025,0.0,Neutral
85,245135,Account,Really appreciate the proactive check-in from our Success Manager.,Low,14/04/2025,0.8676,Positive
86,658371,Account,UI is extremely sluggish when loading large datasets. Unusable for our team.,High,03/03/2025,-0.4576,Negative
86,626246,Account,The mobile app is crashing on startup after the iOS update.,Low,26/02/2025,-0.75,Negative
86,989792,Account,The new automated workflow saved our team 10 hours this week!,Low,17/01/2025,0.4753,Positive
86,544137,Technical,The Salesforce integration is dropping leads; this is costing us revenue.,Low,01/05/2025,-0.75,Negative
87,656915,Account,Incredible response time from the technical support team.,Low,26/03/2025,0.4019,Positive
87,269976,Technical,Best-in-class API documentation. We got up and running in a day.,Low,15/01/2025,0.75,Positive
87,924990,Technical,Integration with Slack was seamless. Love the notifications.,Low,10/02/2025,0.6369,Positive
87,462427,Technical,API documentation is inconsistent with the actual endpoints.,Low,25/03/2025,-0.75,Negative
88,380019,Account,"Major regression found in the latest deployment, reporting is broken.",High,27/04/2025,-0.4767,Negative
88,540889,Account,Does the current plan support multi-factor authentication?,Low,14/01/2025,0.0,Neutral
88,189341,Technical,The Salesforce integration is dropping leads; this is costing us revenue.,Low,23/01/2025,-0.75,Negative
88,223369,Account,Too many clicks to reach the main dashboard. UX is frustrating.,High,16/02/2025,-0.4215,Negative
88,340264,Account,The mobile app is crashing on startup after the iOS update.,Low,08/03/2025,-0.75,Negative
89,747359,Technical,The Salesforce integration is dropping leads; this is costing us revenue.,Low,19/01/2025,-0.75,Negative
89,118318,Account,Requesting a copy of the latest SOC2 Type II report.,Low,22/01/2025,0.0,Neutral
